abbr;abbreviation
u;user
usr;user
util;utility
val;value
var;variable
v;version
ver;version
ws;white space
w;width
win;window
1gl;first-generation programming language
1nf;first normal form
10b2;10base-2
10b5;10base-5
10b-f;10base-f
10b-fb;10base-fb
10b-fl;10base-fl
10b-fp;10base-fp
10b-t;10base-t
100b-fx;100base-fx
100b-tx;100base-tx
100bvg;100base-vg
286;intel 80286 processor
2b1q;2 binary 1 quaternary
2fa;two-factor authentication
2gl;second-generation programming language
2nf;second normal form
3gl;third-generation programming language
3gpp;3rd generation partnership project-'3g comms
3gpp2;3rd generation partnership project 2
3nf;third normal form
386;intel 80386 processor
486;intel 80486 processor
4b5b;f—4 byte 5 byte local fiber
4gl;fourth-generation programming language
4nf;fourth normal form
5gl;fifth-generation programming language
5nf;fifth normal form
6nf;sixth normal form
8b10blf;8 byte 10 byte local fiber
802.11;wireless lan
aaa;authentication authorization, accounting
aabb;axis aligned bounding box
aac;advanced audio coding
aal;atm adaptation layer
aalc;atm adaptation layer connection
aarp;appletalk address resolution protocol
abac;attribute-based access control
abcl;actor-based concurrent language
abi;application binary interface
abm;asynchronous balanced mode
abr;area border router
abr;auto baud-rate detection
abr;available bitrate
abr;average bitrate
ac;acoustic coupler
ac;alternating current
acd;automatic call distributor
ace;advanced computing environment
acid;atomicity consistency isolation durability
ack;acknowledgement
ack;amsterdam compiler kit
acl;access control list
acl;active current loop
acm;association for computing machinery
acme;automated classification of medical entities
acp;airline control program
acpi;advanced configuration and power interface
acr;allowed cell rate
acr;attenuation to crosstalk ratio
ad;active directory
ad;administrative domain
adc;analog-to-digital converter
adc;apple display connector
adb;apple desktop bus
adccp;advanced data communications control procedures
ado;activex data objects
adsl;asymmetric digital subscriber line
adt;abstract data type
ae;adaptive equalizer
aes;advanced encryption standard
af;anisotropic filtering
afp;apple filing protocol
agp;accelerated graphics port
ah;active hub
ai;artificial intelligence
aix;advanced interactive executive
ajax;asynchronous javascript and xml
al;active link
al;access list
alac;apple lossless audio codec
algol;algorithmic language
alsa;advanced linux sound architecture
alu;arithmetic and logical unit
am;access method
am;active matrix
amoled;active-matrix organic light-emitting diode
am;active monitor
am;allied mastercomputer
am;amplitude modulation
amd;advanced micro devices
amqp;advanced message queuing protocol
amr;audio modem riser
ann;artificial neural network
ansi;american national standards institute
ant;another neat tool
aoe;ata over ethernet
aop;aspect-oriented programming
apci;application-layer protocol control information
api;application programming interface
apic;advanced programmable interrupt controller
apipa;automatic private ip addressing
apl;a programming language
apr;apache portable runtime
arc;adaptive replacement cache
arc;advanced risc computing
arin;american registry for internet numbers
arm;advanced risc machines
aros;aros research operating system
arp;address resolution protocol
arpa;address and routing parameter area
arpa;advanced research projects agency
arpanet;advanced research projects agency network
as;access server
ascii;american standard code for information interchange
authip;authenticated internet protocol
asg;abstract semantic graph
asic;application-specific integrated circuit
asimo;advanced step in innovative mobility
aslr;address space layout randomization
asm;algorithmic state machine
asmp;asymmetric multiprocessing
asn.1;abstract syntax notation 1
asp;active server pages
asp;application service provider
asr;asynchronous signal routine
ast;abstract syntax tree
at;advanced technology
at;access time
at;active terminator
ata;advanced technology attachment
atag;authoring tool accessibility guidelines
atapi;advanced technology attachment packet interface
atm;asynchronous transfer mode
authn;authentication
authz;authorization
av;antivirus
avc;advanced video coding
avi;audio video interleaved
awk;aho weinberger kernighan
aws;amazon web services
awt;abstract window toolkit
b2b;business-to-business
b2c;business-to-consumer
b2e;business-to-employee
bal;basic assembly language
bam;block availability map
bash;bourne-again shell
basic;beginner's all-purpose symbolic instruction code
bbp;baseband processor
bbs;bulletin board system
bc;business continuity
bcc;blind carbon copy
bcd;binary coded decimal
bcd;boot configuration data
bcnf;boyce–codd normal form
bcp;business continuity planning
be;backend
beep;blocks extensible exchange protocol
ber;bit error rate
bfd;bidirectional forwarding detection
bfd;binary file descriptor
bfs;breadth-first search
bft;byzantine fault tolerant
bgp;border gateway protocol
bi;business intelligence
bidi;bi-directional
bin;binary
binac;binary automatic computer
bind;berkeley internet name domain
bios;basic input output system
bjt;bipolar junction transistor
bit;binary digit
blob;binary large object
blog;web log
bmp;basic multilingual plane
bnc;baby neill constant
boinc;berkeley open infrastructure for network computing
bom;byte order mark
bootp;bootstrap protocol
bpdu;bridge protocol data unit
bpel;business process execution language
bpl;broadband over power lines
bpm;business process management
bpm;business process modeling
bps;bits per second
brm;business reference model
brms;business rule management system
brr;business readiness rating
brs;broadband radio service
bsa;business software alliance
bsb;backside bus
bsd;berkeley software distribution
bsod;blue screen of death
bss;block started by symbol
bt;bittorrent
bt;bluetooth
b tam;basic telecommunications access method
bw;bandwidth
byod;bring your own device
byte;by eight (group of 8 bits)
ca;computer accountancy
cad;computer-aided design
cae;computer-aided engineering
caid;computer-aided industrial design
cai;computer-aided instruction
cam;computer-aided manufacturing
cap;consistency availability partition tolerance (theorem)
captcha;completely automated public turing test to tell computers and humans apart
cat;computer-aided translation
caq;computer-aided quality assurance
case;computer-aided software engineering
cc;c compiler
cc;carbon copy
cd;compact disc
cde;common desktop environment
cdfs;compact disk file system
cdma;code-division multiple access
cdn;content delivery network
cdp;cisco discovery protocol
cdp;continuous data protection
cd-r;cd-recordable
cd-rom;cd read-only memory
cd-rw;cd-rewritable
cdsa;common data security architecture
cert;computer emergency response team
ces;consumer electronics show
cf;compact flash
cfd;computational fluid dynamics
cfg;context-free grammar
cfg;control-flow graph
cg;computer graphics
cga;color graphics array
cgi;common gateway interface
cgi;computer-generated imagery
cgt;computational graph theory
chap;challenge-handshake authentication protocol
chs;cylinder-head-sector
cidr;classless inter-domain routing
cifs;common internet filesystem
cim;common information model
cim;computationally independent model
cio;chief information officer
cir;committed information rate
cisc;complex instruction set computer
cjk;chinese, japanese, and korean
cjkv;chinese, japanese, korean, and vietnamese
cli;command line interface
clr;common language runtime
cm;configuration management
cm;content management
cmdb;configuration management database
cmmi;capability maturity model integration
cmos;complementary metal-oxide semiconductor
cmo;current mode of operation
cms;content management system
cn;canonical name
cn;common name
cnc;computer numerical control
cng;cryptographic next generation
cng;cryptography next generation
cnr;communications and networking riser
cobol;common business-oriented language
com;component object model or communication
corba;common object request broker architecture
cors;cross-origin resource sharing
cots;commercial off-the-shelf
cpa;cell processor architecture
cpan;comprehensive perl archive network
cp/m;control program/monitor
cpri;common public radio interface
cps;characters per second
cpu;central processing unit
cqs;command–query separation
cqrs;command query responsibility segregation
cr;carriage return
cran;comprehensive r archive network
crc;cyclic redundancy check
crlf;carriage return line feeds
crm;customer relationship management
crs;computer reservations system
crt;cathode-ray tube
crud;create, read, update and delete
cs;cable select
cs;computer science
cse;computer science and engineering
csi;common system interface
csm;compatibility support module
csma/cd;carrier-sense multiple access with collision detection
csp;cloud service provider
csp;communicating sequential processes
csrf;cross-site request forgery
css;cascading style sheets
css;content-scrambling system
css;closed source software
css;cross-site scripting
csv;comma-separated values
ct;computerized tomography
ctan;comprehensive tex archive network
ctcp;client-to-client protocol
cti;computer telephony integration
ctfe;compile-time function execution
ctl;computational tree logic
ctm;close to metal
cts;clear to send
ctss;compatible time-sharing system
cua;common user access
cve;common vulnerabilities and exposures
cvs;concurrent versioning system
cx;customer experience
dac;digital-to-analog converter
dac;discretionary access control
dal;database abstraction layer
dao;data access object
dao;data access objects
dao;disk-at-once
dap;directory access protocol
darpa;defense advanced research projects agency
das;direct attached storage
dat;digital audio tape
db;database
dskt;desktop
dba;database administrator
dbcs;double byte character set
dbms;database management system
dcc;direct client-to-client
dccp;datagram congestion control protocol
dcca;debian common core alliance
dcl;data control language
dcs;distributed control system
dcmi;dublin core metadata initiative
dcom;distributed component object model
dd;double density
dde;dynamic data exchange
ddi;dns dhcp &amp;ip address management
ddl;data definition language
ddos;distributed denial of service
ddr;double data rate
dec;digital equipment corporation
des;data encryption standard
dev;development
dfa;deterministic finite automaton
dfd;data flow diagram
dfs;depth-first search
dfs;distributed file system
dgd;dworkin's game driver
dhcp;dynamic host configuration protocol
dhtml;dynamic hypertext markup language
dif;data integrity field
dimm;dual inline memory module
din;deutsches institut für normung
dip;dual in-line package
dism;deployment image and service management tool
divx;digital video express
dkim;domain keys identified mail
dl;download
dll;dynamic link library
dlna;digital living network alliance
dma;direct memory access
dmca;digital millennium copyright act
dmi;direct media interface
dml;data manipulation language
dml;definitive media library
dmr;dennis m. ritchie
dmz;demilitarized zone
dn;distinguished name
dnd;drag-and-drop
dns;domain name system
doa;dead on arrival
docsis;data over cable service interface specification
dom;document object model
dos;denial of service
dos;disk operating system
dp;dot pitch
dpc;deferred procedure call
dpi;deep packet inspection
dpi;dots per inch
dpmi;dos protected mode interface
dpms;display power management signaling
dr;disaster recovery
dram;dynamic random-access memory
dr-dos;digital research - disk operating system
dri;direct rendering infrastructure
drm;digital rights management
drm;direct rendering manager
dsa;digital signature algorithm
dsdl;document schema definition languages
dsdm;dynamic systems development method
dsl;digital subscriber line
dsl;domain-specific language
dslam;digital subscriber line access multiplexer
dsn;database source name
dsn;data set name
dsp;digital signal processor
dsssl;document style semantics and specification language
dtd;document type definition
dte;data terminal equipment or data transfer rate
dto;data transfer object
dtp;desktop publishing
dtr;data terminal ready or data transfer rate
dvd;digital versatile disc or digital video disc
dvd-r;dvd-recordable
dvd-rom;dvd-read only memory
dvd-rw;dvd-rewritable
dvi;digital visual interface
dvr;digital video recorder
dw;data warehouse
eai;enterprise application integration
eap;extensible authentication protocol
eas;exchange activesync
ebcdic;extended binary coded decimal interchange code
ebml;extensible binary meta language
ecc;elliptic curve cryptography
ecma;european computer manufacturers association
ecn;explicit congestion notification
ecos;embedded configurable operating system
ecrs;expense and cost recovery system
ecs;entity-component-system
eda;electronic design automation
edge;enhanced data rates for gsm evolution
edi;electronic data interchange
edo;extended data out
edsac;electronic delay storage automatic calculator
edvac;electronic discrete variable automatic computer
eeprom;electronically erasable programmable read-only memory
eff;electronic frontier foundation
efi;extensible firmware interface
efm;eight-to-fourteen modulation
efm;ethernet in the first mile
efs;encrypting file system
ega;enhanced graphics array
e-mail;electronic mail
egp;exterior gateway protocol
eid;electronic id card
eide;enhanced ide
eigrp;enhanced interior gateway routing protocol
eisa;extended industry standard architecture
elf;extremely low frequency
elf;executable and linkable format
elm;electronic mail
emacs;editor macros
ems;expanded memory specification
eniac;electronic numerical integrator and computer
eod;end of day
eof;end of file
eol;end of life
eol;end of line
eom;end of message
eos;end of support
epic;explicitly parallel instruction computing
eprom;erasable programmable read-only memory
erd;entity-relationship diagram
erm;entity-relationship model
erp;enterprise resource planning
esata;external sata
esb;enterprise service bus
escon;enterprise systems connection
esd;electrostatic discharge
esi;electronically stored information
esr;eric steven raymond
etl;extract, transform, load
etw;event tracing for windows
euc;extended unix code
eula;end user license agreement
ewm;enterprise work management
ewmh;extended window manager hints
ext;extended file system
eta;estimated time of arrival
fap;fortran assembly program
fasm;flat assembler
fat;file allocation table
faq;frequently asked questions
fbdimm;fully buffered dual inline memory module
fc-al;fibre channel arbitrated loop
fcb;file control block
fcs;frame check sequence
fdc;floppy-disk controller
fds;fedora directory server
fdd;frequency-division duplexing
fdd;floppy disk drive
fddi;fiber distributed data interface
fdm;frequency-division multiplexing
fdma;frequency-division multiple access
fe;frontend
fec;forward error correction
femb;front-end motherboard
fet;field effect transistor
fhs;filesystem hierarchy standard
ficon;fiber connectivity
fifo;first in first out
fips;federal information processing standards
fl;function level
flac;free lossless audio codec
flops;floating-point operations per second
floss;free/libre/open-source software
fmc;fixed mobile convergence "mobile uc or unified communications over wireless"
fmo;future mode of operation
foldoc;free on-line dictionary of computing
fortran;formula translation
fosdem;free and open-source software developers' european meeting
fosi;formatted output specification instance
foss;free and open-source software
fp;function programming
fp;functional programming
fpga;field programmable gate array
fps;floating point systems
fpu;floating-point unit
fru;field-replaceable unit
fs;file system
fsb;front-side bus
fsck;file system check
fsf;free software foundation
fsm;finite state machine
ftta;fiber to the antenna
fttc;fiber to the curb
ftth;fiber to the home
fttp;fiber to the premises
ftp;file transfer protocol
fqdn;fully qualified domain name
fud;fear uncertainty doubt
fws;folding white space
fxp;file exchange protocol
fyi;for your information
fvek;full volume encryption key
g11n;globalization
gas;gnu assembler
gb;gigabit
gb;gigabyte
gbps;gigabits per second
gcc;gnu compiler collection
gcj;gnu compiler for java
gcp;google cloud platform
gcr;group coded recording
gdb;gnu debugger
gdi;graphics device interface
gfdl;gnu free documentation license
gif;graphics interchange format
gigo;garbage in, garbage out
gimp;gnu image manipulation program
gimps;great internet mersenne prime search
gis;geographic information system
glut;opengl utility toolkit
gml;geography markup language
gnome;gnu network object model environment
gnu;gnu's not unix
goms;goals, operators, methods, and selection rules
gpasm;gnu pic assembler
gpfs;general parallel file system
gpg;gnu privacy guard
gpgpu;general-purpose computing on graphics processing units
gpib;general-purpose instrumentation bus
gpl;general public license
gpl;general-purpose language
gprs;general packet radio service
gpt;guid partition table
gpu;graphics processing unit
grub;grand unified boot-loader
geran;gsm edge radio access network
gsm;global system for mobile communications
gtk+;gimp toolkit
gui;graphical user interface
guid;globally unique identifier
gwt;google web toolkit
gyr;it networking
ha;high availability
hal;hardware abstraction layer
hard;html application rapid development
hasp;houston automatic spooling priority
hba;host bus adapter
hci;human—computer interaction
hd;high density
hdd;hard disk drive
hcl;hardware compatibility list
hd dvd;high definition dvd
hdl;hardware description language
hdmi;high-definition multimedia interface
heci;host embedded controller interface
hf;high frequency
hfs;hierarchical file system
hhd;hybrid hard drive
hid;human interface device
hig;human interface guidelines
hird;hurd of interfaces representing depth
hlasm;high level assembler
hls;http live streaming
hma;high memory area
hp;hewlett-packard
hpc;high-performance computing
hpfs;high performance file system
hsdpa;high-speed downlink packet access
htc;high-throughput computing
hsm;hierarchical storage management
ht;hyper threading
htm;hierarchical temporal memory
html;hypertext markup language
http;hypertext transfer protocol
httpd;hypertext transport protocol daemon
https;http secure
htx;hypertransport expansion
hurd;hird of unix-replacing daemons
hvd;holographic versatile disc
hz;hertz</div>
i²c;inter-integrated circuit
i²s;integrated interchip sound
i18n;internationalization
iana;internet assigned numbers authority
iaas;infrastructure as a service
iac;infrastructure as code
ibcs;intel binary compatibility standard
ibm;international business machines
ic;integrated circuit
icann;internet corporation for assigned names and numbers
ice;in-circuit emulator
ice;intrusion countermeasure electronics
ich;i/o controller hub
icmp;internet control message protocol
icp;internet cache protocol
ics;internet connection sharing
ict;information and communication technology
ide;integrated development environment
ide;integrated drive electronics
idf;intermediate distribution frame
idf;intermediate data format
idl;interactive data language
idl;interface definition language
idp;identity provider (cybersecurity)
ids;intrusion detection system
ie;internet explorer
iec;international electrotechnical commission
ieee;institute of electrical and electronics engineers
ietf;internet engineering task force
ifl;integrated facility for linux
igmp;internet group management protocol
igrp;interior gateway routing protocol
ihv;independent hardware vendor
iiop;internet inter-orb protocol
iis;internet information services
ike;internet key exchange
il;intermediate language
im;instant message or instant messaging
imap;internet message access protocol
ime;input method editor
infosec;information systems security
i/o;input/output
iot;internet of things
ip;intellectual property
ip;internet protocol
ipam;ip address management
ipc;inter-process communication
ipl;initial program load
ipmi;intelligent platform management interface
ipo;inter procedural optimization
ipp;internet printing protocol
ips;in-plane switching
ips;instructions per second
ips;intrusion prevention system
ipsec;internet protocol security
iptv;internet protocol television
ipv4;internet protocol version 4
ipv6;internet protocol version 6
ipx;internetwork packet exchange
ir;intermediate representation
irc;internet relay chat
irda;infrared data association
iri;internationalized resource identifier
irp;i/o request packet
irq;interrupt request
is;information systems
is-is;intermediate system to intermediate system
isa;industry standard architecture
isa;instruction set architecture
isam;indexed sequential access method
isatap;intra-site automatic tunnel addressing protocol
isc;internet storm center
iscsi;internet small computer system interface
isdn;integrated services digital network
iso;international organization for standardization
isns;internet storage name service
isp;internet service provider
ispf;interactive system productivity facility
isr;interrupt service routine
isv;independent software vendor
it;information technology
itil;information technology infrastructure library
itl;interval temporal logic
itu;international telecommunication union
ivr(s);interactive voice response (system)
j2me;java 2 micro edition
j2se;java 2 standard edition
jaxb;java architecture for xml binding
jax-rpc;java xml for remote procedure calls
jaxp;java api for xml processing
jbod;just a bunch of disks
jce; java cryptography extension
jcl;job control language
jcp;java community process
jdbc;java database connectivity
jdk;java development kit
jee;java enterprise edition
jes;job entry subsystem
jds;java desktop system
jfc;java foundation classes
jfet;junction field-effect transistor
jfs;ibm journaling file system
jini;jini is not initials
jit;just-in-time
jme;java micro edition
jmx;java management extensions
jms;java message service
jndi;java naming and directory interface
jni;java native interface
jnz;jump non-zero
jpeg;joint photographic experts group
jre;java runtime environment
js;javascript
jse;java standard edition
json;javascript object notation
jsp;jackson structured programming
jsp;javaserver pages
jtag;joint test action group
jvm;java virtual machine
k&amp;;kernighan and ritchie
kb;keyboard
kb;kilobit
kb;kilobyte
kb;knowledge base
kbps;kilobits per second
kib;kibibyte
kde;k desktop environment
khz;kilohertz
<li>km—knowledge machine</li>
krl;knowledge representation language
kvm;keyboard, video, mouse
l10n;localization
l2tp;layer two tunneling protocol
lacp;link aggregation control protocol
lamp;linux apache mysql perl
lamp;linux apache mysql php
lamp;linux apache mysql python
lan;local area network
lba;logical block addressing
lb;load balancer
lcd;liquid crystal display
lcr;least cost routing
lcos;liquid crystal on silicon
ldap;lightweight directory access protocol
le;logical extents
led;light-emitting diode
lf;line feed
lf;low frequency
lfs;linux from scratch
lga;land grid array
lgpl;lesser general public license
lib;library
lif;low insertion force
lifo;last in first out
lilo;linux loader
<li>lip—loop initialization primitive</li>
lisp;list processing
lkml;linux kernel mailing list
lm;lan manager
loc;lines of code
lpc;lars pensjö c
lpi;lines per inch
lpi;linux professional institute
lpt; line print terminal
lru;least recently used
lsb;least significant bit
lsb;linux standard base
lsi;large-scale integration
lte;long term evolution
ltl;linear temporal logic
ltr;left-to-right
lug;linux user group
lun;logical unit number
lv;logical volume
lvd;low voltage differential
lvm;logical volume management
lzw;lempel-ziv-welch
mac;mandatory access control
mac;media access control
manet;mobile ad-hoc network
man;metropolitan area network
mapi;messaging application programming interface
mbcs;multi byte character set
mbd;model-based design
mbr;master boot record
mb;megabit
mb;megabyte
mbps;megabits per second
mcad;microsoft certified application developer
mcas;microsoft certified application specialist
mca;micro channel architecture
mca;microsoft certified architect
mcdba;microsoft certified database administrator
mcdst;microsoft certified desktop support technician
mcitp;microsoft certified information technology professional
mcm;microsoft certified master
mcpc;multiple channels per carrier
mcpd;microsoft certified professional developer
mcp;microsoft certified professional
mcsa;microsoft certified systems administrator
mcsd;microsoft certified solution developer
mcse;microsoft certified systems engineer
mcts;microsoft certified technology specialist
mct;microsoft certified trainer
mda;monochrome display adapter
mda;mail delivery agent
mda;model-driven architecture
mdd/mdsd;model-driven (software) development
mdf;main distribution frame
mdi;multiple-document interface
mdm;master data management
me;microsoft edge
me;[windows] millennium edition
mfa;multi-factor authentication
mfc;microsoft foundation classes
mfm;modified frequency modulation
mf;medium frequency
mgcp;media gateway control protocol
mhz;megahertz
mib;management information base
micr;magnetic ink character recognition or magnetic ink character reader
midi;musical instrument digital interface
mimd;multiple instruction, multiple data
mime;multipurpose internet mail extensions
mimo;multiple-input multiple-output
minix;mini-unix
mips;microprocessor without interlocked pipeline stages
mips;million instructions per second
misd;multiple instruction, single data
mis;management information systems
mit;massachusetts institute of technology
ml;machine learning
mmc;microsoft management console
mmds;mortality medical data system
mmds;multichannel multipoint distribution service
mmf;multi-mode (optical) fiber
mmio;memory-mapped i/o
mmi;man machine interface.
mmorpg;massively multiplayer online role-playing game
mms;multimedia message service
mmu;memory management unit
mmx;multi-media extensions
mng;multiple-image network graphics
mobo;motherboard
mom;message-oriented middleware
moo;mud object oriented
mop;meta-object protocol
mosfet;metal-oxide semiconductor field effect transistor
mos;microsoft office specialist
motd;message of the day
mous;microsoft office user specialist
mov;apple quicktime multimedia file
mpaa;motion picture association of america
mpeg;motion pictures experts group
mpls;multiprotocol label switching
mpl;mozilla public license
mpu;microprocessor unit
ms-dos;microsoft dos
msa;mail submission agent
msb;most significant bit
msdn;microsoft developer network
msi;medium-scale integration
msi;message signaled interrupt
msi;microsoft installer
msn;microsoft network
ms;microsoft
ms;memory stick
mta;mail transfer agent
mta;microsoft technology associate
mtbf;mean time between failures
mtu;maximum transmission unit
mt;machine translation
mua;mail user agent
mud;multi-user dungeon
mu;memory unit
mvc;model-view-controller
mvp;most valuable professional
mvs;multiple virtual storage
mwc;mobile world congress
mxf;material exchange format
mx;mail exchange
nac;network access control
nack;negative acknowledgement
nak;negative acknowledge character
nan;not a number
nap;network access protection
nas;network-attached storage
nasm;netwide assembler
nat;network address translation
ncp;netware core protocol
ncq;native command queuing
ncsa;national center for supercomputing applications
ndis;network driver interface specification
ndps;novell distributed print services
nds;novell directory services
nep;network equipment provider
netbios;network basic input/output system
netbt;netbios over tcp/ip
next;near-end crosstalk
nfa;nondeterministic finite automaton
nfc;near-field communication
nfs;network file system
ngl—angel
ngscb;next-generation secure computing base
ni;national instruments
nic;network interface controller or network interface card
nim;no internal message
nio;non-blocking i/o
nist;national institute of standards and technology
nle;non-linear editing system
nlp;natural language processing
nls;native language support
nmi;non-maskable interrupt
nntp;network news transfer protocol
noc;network operations center
nop;no operation
nos;network operating system
np;nondeterministic polynomial time
npl;netscape public license
nptl;native posix thread library
npu;network processing unit
ns;netscape
nsa;network security appliance
nsi;network service interface
nspr;netscape portable runtime
nss;novell storage service
nss;network security services
nss;name service switch
nt;new technology
ntfs;nt filesystem
ntlm;nt lan manager
ntp;network time protocol
numa;non-uniform memory access
nurbs;non-uniform rational b-spline
nvr;network video recorder
nvram;non-volatile random access memory
oasis;organization for the advancement of structured information standards
oat;operational acceptance testing
obsai;open base station architecture initiative
odbc;open database connectivity
oem;original equipment manufacturer
oes;open enterprise server
ofdm;orthogonal frequency-division multiplexing
oftc;open and free technology community
oid;object identifier
olap;online analytical processing
ole;object linking and embedding
oled;organic light emitting diode
olpc;one laptop per child
oltp;online transaction processing
omf;object module format
omg;object management group
omr;optical mark reader
oo;object-oriented
oo;openoffice
ooe;out-of-order execution
oom;out of memory
ooo;openoffice.org
oooe;out-of-order execution
oop;object-oriented programming
ootb;out of the box
opml;outline processor markup language
orb;object request broker
orm;object-relational mapping
os;open source
os;operating system
oscon;o'reilly open source convention
osdn;open source development network
osi;open source initiative
osi;open systems interconnection
ospf;open shortest path first
oss;open sound system
oss;open-source software
oss;operations support system
ostg;open source technology group
otp;one-time password
oui;organisationally unique identifier
p2p;peer-to-peer
paas;platform as a service
pam;privileged access management
pan;personal area network
pap;password authentication protocol
parc;palo alto research center
pata;parallel ata
pbs;portable batch system
pc;personal computer
pcb;printed circuit board
pcb;process control block
pc dos;personal computer disc operating system
pci;peripheral component interconnect
pcie;pci express
pci-x;pci extended
pcl;printer command language
pcmcia;personal computer memory card international association
pcm;pulse-code modulation
pcre;perl compatible regular expressions
pd;public domain
pda;personal digital assistant
pdf;portable document format
pdh;plesiochronous digital hierarchy
pdp;programmed data processor
pe;physical extents
perl;practical extraction and reporting language
pfa;please find attachment
pg;peripheral gateway
pga;pin grid array
pga;programmable gate array
pgo;profile-guided optimization
pgp;pretty good privacy
php;hypertext preprocessor
pic;peripheral interface controller
pic;programmable interrupt controller
pid;proportional-integral-derivative
pid;process id
pim;personal information manager
pine;program for internet news and email
pim;platform independent model
ping;packet internet gopher
pio;programmed input/output
pkcs;public key cryptography standards
pki;public key infrastructure
plc;power line communication
plc;programmable logic controller
pld;programmable logic device
pl/i;programming language one
pl/m;programming language for microcomputers
pl/p;programming language for prime
plt;power line telecommunications
pmm;post memory manager
png;portable network graphics
pnp;plug-and-play
pnrp;peer name resolution protocol
poe;power over ethernet
pos;point of sale
poco;plain old class object
poid;persistent object identifier
pojo;plain old java object
pop;point of presence
pop3;post office protocol v3
posix;portable operating system interface, formerly ieee-ix
post;power-on self test
ppc;powerpc
ppi;pixels per inch
ppm;pages per minute
ppp;point-to-point protocol
pppoa;ppp over atm
pppoe;ppp over ethernet
pptp;point-to-point tunneling protocol
pr;pull request
prom;programmable read-only memory
ps;postscript
ps/2;personal system/2
psa;professional services automation
psm;platform specific model
pstn;public switched telephone network
psu;power supply unit
psvi;post-schema-validation infoset
pts-dos;phystechsoft – disk operating system
pv;physical volume
pvg;physical volume group
pvr;personal video recorder
pxe;preboot execution environment
pxi;pci extensions for instrumentation
prc;procedure remote call
qdr;quad data rate
qa;quality assurance
qfp;quad flat package
qos;quality of service
qotd;quote of the day
qt;quasar toolkit
qtam;queued teleprocessing access method
qsop;quarter small outline package
qwave;quality windows audio/video experience
racf;resource access control facility
rad;rapid application development
radius;remote authentication dial in user service
raid;redundant array of independent disks
raii;resource acquisition is initialization
rait;redundant array of inexpensive tapes
ram;random-access memory
rarp;reverse address resolution protocol
ras;reliability, availability and serviceability
ras;remote access service
rc;region code
rc;release candidate
rc;run commands
rca;root cause analysis
rcs;revision control system
rd;remote desktop
rd;remove directory
rdbms;relational database management system
rdc;remote desktop connection
rdf;resource description framework
rdm;relational data model
rdos;real-time disk operating system
rdp;remote desktop protocol
rds;remote data services
refal;recursive functions algorithmic language
<li>rep—raid error propagation</li>
rest;representational state transfer
<li>resv—reservation message</li>
regex;regular expression
regexp;regular expression
rf;radio frequency
rfc;request for comments
rfi;radio frequency interference
rfid;radio frequency identification
rgb;red, green, blue
rgba;ed, green, blue, alpha
